Team Number,Advisor,Problem,Ranking,Institution ID,Institution Name,City,State/Province,Country
36551,Chuan Ding,C,Meritorious,16,Appalachian State University,Boone,Nc,Usa
32201,Yanhong Liu,B,Meritorious,18,Asbury University,Wilmore,Ky,Usa
35755,Qiang Ling,C,Meritorious,20,Bard College,Annandale-On-Hudson,Ny,Usa
38432,Haijun Pan,A,Meritorious,20,Bard College,Annandale-On-Hudson,Ny,Usa
32474,Fang Yi,A,Meritorious,20,Bard College,Annandale-On-Hudson,Ny,Usa
39703,Hang Ding,A,Meritorious,20,Bard College,Annandale-On-Hudson,Ny,Usa
36159,Li Cui,D,Meritorious,43,Belhaven University,Jackson,Ms,Usa
35157,Haibo Wang,B,Meritorious,43,Belhaven University,Jackson,Ms,Usa
40568,Guanqiong Yang,D,Meritorious,43,Belhaven University,Jackson,Ms,Usa
35156,Li Cui,A,Meritorious,43,Belhaven University,Jackson,Ms,Usa
32642,Li Cui,B,Meritorious,43,Belhaven University,Jackson,Ms,Usa
33013,Xiaole Su,A,Meritorious,43,Belhaven University,Jackson,Ms,Usa
37229,Li Cui,A,Meritorious,43,Belhaven University,Jackson,Ms,Usa
36106,Ying Li,D,Meritorious,45,Bethel University,Arden Hills,Mn,Usa
38278,Xue Li,C,Meritorious,46,Binghamton University (Suny),Binghamton,Ny,Usa
37344,Guangyu Ren,D,Meritorious,46,Binghamton University (Suny),Binghamton,Ny,Usa
36897,Yiliao Song,A,Meritorious,49,Bloomsburg University,Bloomsburg,Pa,Usa
36944,Mingfei Niu,B,Meritorious,49,Bloomsburg University,Bloomsburg,Pa,Usa
33229,Yu Xiao,D,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33129,Jiebao Sun,A,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33093,Baoyu Song,A,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33145,Qingwen Zhang,A,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33205,Shuo Shi,A,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33216,Bin Zhou,A,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33088,Tong Zheng,B,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33083,Tong Zheng,B,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33081,Tong Zheng,D,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33065,Dazhi Zhang,D,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33063,Dazhi Zhang,A,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33218,Bin Zhou,A,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33239,Fuli Li,D,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33056,Boying Wu,A,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33136,Qingwen Zhang,A,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33476,Xiaofang Li,A,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33525,Rongning Qu,D,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33526,Xiaofang Li,A,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33531,Rongning Qu,B,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33521,Rongning Qu,B,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33243,Daohua Li,D,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33470,Xiaofang Li,A,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33245,Daohua Li,D,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
33132,Jiebao Sun,A,Meritorious,53,Bucknell University,Lewisburg,Pa,Usa
36962,Guoguang Yan,D,Meritorious,56,Cal Poly Pomona,Pomona,Ca,Usa
32327,Zhongming Ma,D,Meritorious,56,Cal Poly Pomona,Pomona,Ca,Usa
36772,Guoguang Yan,D,Meritorious,56,Cal Poly Pomona,Pomona,Ca,Usa
34907,Jiachen Zou,A,Meritorious,58,"California State University, Fullerton",Fullerton,Ca,Usa
37944,Xiangyun Zhang,A,Meritorious,58,"California State University, Fullerton",Fullerton,Ca,Usa
37445,Hongtao Zhao,C,Meritorious,62,Carnegie Mellon University,Pittsburgh,Pa,Usa
38856,Xuelin Yong,B,Meritorious,62,Carnegie Mellon University,Pittsburgh,Pa,Usa
38262,Zhi Pan,B,Meritorious,62,Carnegie Mellon University,Pittsburgh,Pa,Usa
38171,Fengxia He,A,Meritorious,62,Carnegie Mellon University,Pittsburgh,Pa,Usa
38617,Xin Gao,A,Meritorious,62,Carnegie Mellon University,Pittsburgh,Pa,Usa
38642,Xuelin Yong,D,Meritorious,62,Carnegie Mellon University,Pittsburgh,Pa,Usa
38638,Xuelin Yong,A,Meritorious,62,Carnegie Mellon University,Pittsburgh,Pa,Usa
38626,Xin Gao,A,Meritorious,62,Carnegie Mellon University,Pittsburgh,Pa,Usa
38160,Qirong Qiu,A,Meritorious,62,Carnegie Mellon University,Pittsburgh,Pa,Usa
38620,Xin Gao,A,Meritorious,62,Carnegie Mellon University,Pittsburgh,Pa,Usa
38143,Yanhua Cao,A,Meritorious,62,Carnegie Mellon University,Pittsburgh,Pa,Usa
38146,Yanhua Cao,D,Meritorious,62,Carnegie Mellon University,Pittsburgh,Pa,Usa
38151,Fengxia He,B,Meritorious,62,Carnegie Mellon University,Pittsburgh,Pa,Usa
38376,Pan Zhi,A,Meritorious,62,Carnegie Mellon University,Pittsburgh,Pa,Usa
38411,Xingming Shu,A,Meritorious,63,Carroll College,Helena,Mt,Usa
36877,Zhigang Wang,A,Meritorious,63,Carroll College,Helena,Mt,Usa
40961,Yan Zhang,B,Meritorious,63,Carroll College,Helena,Mt,Usa
34359,Xiaoming Fan,D,Meritorious,123,Colby College,Waterville,Me,Usa
33625,Mu Lin,C,Meritorious,123,Colby College,Waterville,Me,Usa
33636,Mu Lin,A,Meritorious,123,Colby College,Waterville,Me,Usa
33738,Chengzhang Wang,D,Meritorious,123,Colby College,Waterville,Me,Usa
34424,Mu Lin,D,Meritorious,123,Colby College,Waterville,Me,Usa
33759,Zixiong Peng,D,Meritorious,123,Colby College,Waterville,Me,Usa
33637,Mu Lin,D,Meritorious,123,Colby College,Waterville,Me,Usa
34468,Xiaoming Fan,D,Meritorious,123,Colby College,Waterville,Me,Usa
34231,Xiaoming Fan,D,Meritorious,123,Colby College,Waterville,Me,Usa
34123,Xiaoming Fan,A,Meritorious,123,Colby College,Waterville,Me,Usa
41124,Mu Lin,D,Meritorious,123,Colby College,Waterville,Me,Usa
34326,Xiaoming Fan,D,Meritorious,123,Colby College,Waterville,Me,Usa
35590,Fan Xiaoming,D,Meritorious,123,Colby College,Waterville,Me,Usa
34308,Xiaoming Fan,D,Meritorious,123,Colby College,Waterville,Me,Usa
34276,Mu Lin,D,Meritorious,123,Colby College,Waterville,Me,Usa
36161,Chengzhang Wang,A,Meritorious,123,Colby College,Waterville,Me,Usa
34238,Xiaoming Fan,D,Meritorious,123,Colby College,Waterville,Me,Usa
33574,Mu Lin,A,Meritorious,123,Colby College,Waterville,Me,Usa
39514,Jianhua Zhang,D,Meritorious,141,College Of Wooster,Wooster,Oh,Usa
38655,Qingan Cui,A,Meritorious,141,College Of Wooster,Wooster,Oh,Usa
33441,Qingan Cui,D,Meritorious,141,College Of Wooster,Wooster,Oh,Usa
38004,Anne M Dougherty,B,Meritorious,144,Columbia University,New York,Ny,Usa
32878,Anne M Dougherty,A,Meritorious,144,Columbia University,New York,Ny,Usa
41667,Chengyu Wen,D,Meritorious,148,Cornell College,Mount Vernon,Ia,Usa
32900,Jiancheng Hu,B,Meritorious,148,Cornell College,Mount Vernon,Ia,Usa
32908,Lizhuo Zhang,A,Meritorious,150,Cupertino High School,Cupertino,Ca,Usa
36074,Yanzhong Zhao,D,Meritorious,172,Duquesne University,Pittsburgh,Pa,Usa
37822,Junqing Chen,A,Meritorious,179,Eastern Michigan University,Ypsilanti,Mi,Usa
38509,Junqing Chen,A,Meritorious,179,Eastern Michigan University,Ypsilanti,Mi,Usa
40509,Junqing Chen,D,Meritorious,179,Eastern Michigan University,Ypsilanti,Mi,Usa
41387,Jianhua Zheng,B,Meritorious,179,Eastern Michigan University,Ypsilanti,Mi,Usa
38263,Zhenbo Wang,A,Meritorious,179,Eastern Michigan University,Ypsilanti,Mi,Usa
37775,Jun Ye,A,Meritorious,179,Eastern Michigan University,Ypsilanti,Mi,Usa
36411,Mei Lu,D,Meritorious,179,Eastern Michigan University,Ypsilanti,Mi,Usa
37606,Jun Ye,A,Meritorious,179,Eastern Michigan University,Ypsilanti,Mi,Usa
36456,Zhiming Hu,B,Meritorious,179,Eastern Michigan University,Ypsilanti,Mi,Usa
35332,Heng Liang,A,Meritorious,179,Eastern Michigan University,Ypsilanti,Mi,Usa
35176,Zhenbo Wang,A,Meritorious,179,Eastern Michigan University,Ypsilanti,Mi,Usa
37715,Zhenbo Wang,A,Meritorious,179,Eastern Michigan University,Ypsilanti,Mi,Usa
36783,Zhiming Hu,A,Meritorious,179,Eastern Michigan University,Ypsilanti,Mi,Usa
37210,Mei Lu,B,Meritorious,179,Eastern Michigan University,Ypsilanti,Mi,Usa
36281,Zuoqiang Shi,A,Meritorious,179,Eastern Michigan University,Ypsilanti,Mi,Usa
34380,Zhiming Hu,B,Meritorious,179,Eastern Michigan University,Ypsilanti,Mi,Usa
33744,Dandan Yang,C,Meritorious,183,Emory University,Atlanta,Ga,Usa
33681,Qingsong Zou,D,Meritorious,183,Emory University,Atlanta,Ga,Usa
33688,Liang Wang,D,Meritorious,183,Emory University,Atlanta,Ga,Usa
33679,Yuqian Yang,D,Meritorious,183,Emory University,Atlanta,Ga,Usa
33689,Liang Wang,D,Meritorious,183,Emory University,Atlanta,Ga,Usa
33671,Shengli Zhang,D,Meritorious,183,Emory University,Atlanta,Ga,Usa
33654,Jimin Ye,D,Meritorious,183,Emory University,Atlanta,Ga,Usa
33667,Feng Ye,C,Meritorious,183,Emory University,Atlanta,Ga,Usa
33684,Benchong Li,D,Meritorious,183,Emory University,Atlanta,Ga,Usa
33680,Yingzhe Wang,D,Meritorious,187,Franklin & Marshall College,Lancaster,Pa,Usa
33766,Sang Zhaoyang,A,Meritorious,200,Georgetown University,Washington,Dc,Usa
34264,Hua Chen,D,Meritorious,200,Georgetown University,Washington,Dc,Usa
33786,Sun Yuhua,D,Meritorious,200,Georgetown University,Washington,Dc,Usa
33851,Sun Qingying,D,Meritorious,200,Georgetown University,Washington,Dc,Usa
33871,Mou Haining,B,Meritorious,200,Georgetown University,Washington,Dc,Usa
33881,Yan Wang,B,Meritorious,200,Georgetown University,Washington,Dc,Usa
33927,Jun Liu,A,Meritorious,200,Georgetown University,Washington,Dc,Usa
33957,Ge Ju,A,Meritorious,200,Georgetown University,Washington,Dc,Usa
34478,Jiang Lingling,D,Meritorious,200,Georgetown University,Washington,Dc,Usa
34265,Hua Chen,B,Meritorious,200,Georgetown University,Washington,Dc,Usa
34448,Hua Chen,A,Meritorious,200,Georgetown University,Washington,Dc,Usa
33799,Jing Liu,A,Meritorious,203,Goshen College,Goshen,In,Usa
33798,Jing Liu,B,Meritorious,203,Goshen College,Goshen,In,Usa
33804,Jing Liu,B,Meritorious,203,Goshen College,Goshen,In,Usa
33803,Jing Liu,B,Meritorious,203,Goshen College,Goshen,In,Usa
33819,Jing Liu,B,Meritorious,203,Goshen College,Goshen,In,Usa
33842,"Qiuhua Tang, Liping Zhang",B,Meritorious,205,Grinnell College,Grinnell,Ia,Usa
35773,Lei Chen,C,Meritorious,339,Jacksonville University,Jacksonville,Fl,Usa
35779,Lei Chen,A,Meritorious,339,Jacksonville University,Jacksonville,Fl,Usa
35781,Huanqin Li,A,Meritorious,339,Jacksonville University,Jacksonville,Fl,Usa
35791,Yuying Wang,D,Meritorious,339,Jacksonville University,Jacksonville,Fl,Usa
35809,Zhongmeng Zhao,D,Meritorious,339,Jacksonville University,Jacksonville,Fl,Usa
36284,Wushen Chen,A,Meritorious,369,Lafayette College,Easton,Pa,Usa
36808,Anwen Lu,A,Meritorious,370,Lamar University,Beaumont,Tx,Usa
36370,Liuxing Chen,A,Meritorious,370,Lamar University,Beaumont,Tx,Usa
36412,Chunde Yang,A,Meritorious,370,Lamar University,Beaumont,Tx,Usa
36430,Wei Zhu,A,Meritorious,370,Lamar University,Beaumont,Tx,Usa
36445,Shiyun Shen,B,Meritorious,370,Lamar University,Beaumont,Tx,Usa
36580,Xianquan Liu,A,Meritorious,370,Lamar University,Beaumont,Tx,Usa
36339,Ligang Zhou,D,Meritorious,374,Lawrence Technological University,Southfield,Mi,Usa
36793,Huayou Chen,A,Meritorious,374,Lawrence Technological University,Southfield,Mi,Usa
36771,Qin Xu,D,Meritorious,374,Lawrence Technological University,Southfield,Mi,Usa
36332,Huayou Chen,D,Meritorious,374,Lawrence Technological University,Southfield,Mi,Usa
36341,Zhifu Tao,D,Meritorious,374,Lawrence Technological University,Southfield,Mi,Usa
36763,Jiaming Zhu,D,Meritorious,374,Lawrence Technological University,Southfield,Mi,Usa
36574,Susan A Toma,D,Meritorious,395,Maggie Walker Governors School,Richmond,Va,Usa
40357,Fei Han,C,Meritorious,407,Midlands Technical College,Columbia,Sc,Usa
41857,Ser Peow Tan,C,Meritorious,407,Midlands Technical College,Columbia,Sc,Usa
37718,Christina M Weaver,A,Meritorious,487,Olin College,Needham,Ma,Usa
37760,Edy Soewono,A,Meritorious,491,Pacific Lutheran University,Tacoma,Wa,Usa
37880,Yue Sun,D,Meritorious,500,Penn State Abington,Abington,Pa,Usa
38170,Xusheng Kang,D,Meritorious,520,Ramapo College Of New Jersey,Mahwah,Nj,Usa
38191,Xusheng Kang,A,Meritorious,520,Ramapo College Of New Jersey,Mahwah,Nj,Usa
40179,Ding Zhengzhong,D,Meritorious,521,Randolph College,Lynchburg,Va,Usa
40196,Hua Jiukun,A,Meritorious,521,Randolph College,Lynchburg,Va,Usa
40247,Li Yinfei,C,Meritorious,521,Randolph College,Lynchburg,Va,Usa
40259,Yang Xiaorong,A,Meritorious,521,Randolph College,Lynchburg,Va,Usa
38280,Daihai He,A,Meritorious,527,Rensselaer Polytechnic Institute,Troy,Ny,Usa
38379,Laihan Luo,A,Meritorious,537,Saint Louis University,St. Louis,Mo,Usa
38380,James H Degnan,A,Meritorious,538,Salisbury University,Salisbury,Md,Usa
40860,James Allen Morrow,B,Meritorious,568,Seattle University,Seattle,Wa,Usa
38729,Brad Finney,C,Meritorious,570,Sewanee: The University Of The South,Sewanee,Tennessee,Usa
39761,Jian Li,B,Meritorious,671,Snake River Hs,Blackfoot,Id,Usa
40674,Lianping Yang,A,Meritorious,720,Syracuse University,Syracuse,Ny,Usa
40395,Jiang Yingzi,A,Meritorious,730,Temple University,Philadelphia,Pa,Usa
40685,Yorck I Sommerhã¤User,B,Meritorious,753,"The University Of Tennessee, Knoxville",Knoxville,Tn,Usa
40760,Charles D Camp,B,Meritorious,774,Tufts University,Medford,Ma,Usa
40763,Sanjeeva Balasuriya,A,Meritorious,776,Uc Berkeley,Berkeley,Ca,Usa
40794,Tao Sun,B,Meritorious,777,Ucsb,Santa Barbara,Ca,Usa
40842,Jiao Hongying,D,Meritorious,782,Union College,Schenectady,Ny,Usa
40907,Yumeng Liu,B,Meritorious,789,University At Buffalo (Suny),Buffalo,Ny,Usa
41047,Lian Zhou,B,Meritorious,798,University Of Dayton,Dayton,Oh,Usa
41480,Zhi-Hua Hu,B,Meritorious,798,University Of Dayton,Dayton,Oh,Usa
41035,Wei Deng,A,Meritorious,798,University Of Dayton,Dayton,Oh,Usa
41248,Aaron Hoffman,A,Meritorious,831,University Of New Mexico,Albuquerque,Nm,Usa
41471,Zhixiong Lin,A,Meritorious,854,University Of St. Thomas,Saint Paul,Mn,Usa
41508,Biao Xu,D,Meritorious,864,University Of Wisconsin-Stevens Point,Stevens Point,Wi,Usa
41566,Wentao Zhang,D,Meritorious,868,Virginia Military Institute,Lexington,Va,Usa
41621,Zhang Lifeng,B,Meritorious,875,Wartburg College,Waverly,Ia,Usa
41680,Jun Meng,D,Meritorious,878,Wentworth Institute Of Technology,Boston,Ma,Usa
41686,Hualing Deng,C,Meritorious,878,Wentworth Institute Of Technology,Boston,Ma,Usa
41699,Zhanguo Zhang,B,Meritorious,878,Wentworth Institute Of Technology,Boston,Ma,Usa
41702,Zhanguo Zhang,A,Meritorious,878,Wentworth Institute Of Technology,Boston,Ma,Usa
